"","index","county","total.area"
"1",1,"BC",2268.7
"2",2,"BC",3355.5
"3",3,"Z",18586.6
"4",4,"BC",3666.5
"5",5,"BC",8321.5
"6",6,"BC",5449.1
"7",7,"AC",5803.7
"8",8,"Z",6831.7
"9",9,"Z",5477.2
"10",10,"BC",9922.6
"11",11,"Z",22507.4
"12",12,"Z",9712.7
"13",13,"BC",2605.6
"14",14,"Z",3060.8
"15",15,"BC",4252.4
"16",16,"BC",2370.3
"17",17,"BC",4630.8
"18",18,"BC",3497.1
"19",19,"BC",1544.8
"20",20,"BC",6318.1
"21",21,"AC",7723.9
"22",22,"BC/AC",2450.5
"23",23,"BC/AC",3621.6
"24",24,"Z",4345.5
"25",25,"BC",3460.2
"26",26,"Z",5050.1
"27",27,"Z",10229.7
"28",28,"BC",4539.8
"29",29,"BC",1012.3
"30",30,"Z",15235.7
"31",31,"AC",7890.9
"32",32,"Z",3920.1
"33",33,"BC",3513.4
"34",34,"BC",1368
"35",35,"BC/AC",7060.7
"36",36,"BC",754.1
"37",37,"BC",13485.4
"38",38,"BC",4763.1
"39",39,"BC",2421.5
"40",40,"BC/AC",4517.3
"41",41,"BC",4251.5
"42",42,"BC",2011.6
"43",43,"Z",7282.1
"44",44,"BC",13180.6
"45",45,"AC",8019.1
"46",46,"BC",9139.7
"47",47,"AC",9789.8
"48",48,"BC/AC",2992.3
"49",49,"AC",14373.3
"50",50,"AC",14418.9
"51",51,"BC",2104
