"","year","index","unit","lynx.total"
"1",1994,1,"Angesa",NA
"2",1995,1,"Angesa",NA
"3",1996,1,"Angesa",0
"4",1997,1,"Angesa",1
"5",1998,1,"Angesa",0
"6",1999,1,"Angesa",1
"7",2000,1,"Angesa",0
"8",2001,1,"Angesa",0
"9",2002,1,"Angesa",0
"10",2003,1,"Angesa",0
"11",2004,1,"Angesa",0
"12",2005,1,"Angesa",1
"13",2006,1,"Angesa",0.5
"14",2007,1,"Angesa",0.5
"15",2008,1,"Angesa",0.5
"16",1994,2,"Baste",NA
"17",1995,2,"Baste",NA
"18",1996,2,"Baste",1.5
"19",1997,2,"Baste",2.5
"20",1998,2,"Baste",1
"21",1999,2,"Baste",1
"22",2000,2,"Baste",0.5
"23",2001,2,"Baste",1
"24",2002,2,"Baste",1.83
"25",2003,2,"Baste",0.5
"26",2004,2,"Baste",1
"27",2005,2,"Baste",1.83
"28",2006,2,"Baste",1
"29",2007,2,"Baste",0
"30",2008,2,"Baste",1.5
"31",1994,3,"Frostvikens Norra",NA
"32",1995,3,"Frostvikens Norra",NA
"33",1996,3,"Frostvikens Norra",7.33
"34",1997,3,"Frostvikens Norra",10.5
"35",1998,3,"Frostvikens Norra",4.5
"36",1999,3,"Frostvikens Norra",11
"37",2000,3,"Frostvikens Norra",5.5
"38",2001,3,"Frostvikens Norra",5.5
"39",2002,3,"Frostvikens Norra",1.5
"40",2003,3,"Frostvikens Norra",0.83
"41",2004,3,"Frostvikens Norra",2
"42",2005,3,"Frostvikens Norra",2
"43",2006,3,"Frostvikens Norra",1
"44",2007,3,"Frostvikens Norra",1
"45",2008,3,"Frostvikens Norra",3.5
