"","group","mean","sd","group.index"
"1",1,4,0.813069573099523,1
"2",3,31.4,3.95979797464467,2
"3",4,3.9,0.813069573099523,3
"4",5,1.925,0.293987366103667,4
"5",6,1.2,0.813069573099523,5
"6",7,0.0162,0.0128693434175952,6
"7",11,0.9,0.813069573099523,7
"8",12,4.9,0.813069573099523,8
"9",13,3.8,0.813069573099523,9
"10",14,3.4,1.03601801786134,10
"11",15,3.7,0.813069573099523,11
"12",16,3.26666666666667,1.15902257671425,12
"13",19,1.1,0.813069573099523,13
"14",20,1.7,0.813069573099523,14
"15",21,5.575,1.67737039099044,15
"16",22,1.85,0.813069573099523,16
"17",23,0.58,0.338082830087539,17
"18",24,0.9,0.813069573099523,18
"19",25,0.12,0.813069573099523,19
"20",27,1.1,0.813069573099523,20
"21",28,0.46,0.813069573099523,21
"22",29,1.9,0.813069573099523,22
"23",30,2.75,0.813069573099523,23
"24",32,6.73333333333333,2.37557010701291,24
"25",33,8.7,0.813069573099523,25
"26",35,3.85,0.212132034355964,26
"27",36,3,0.813069573099523,27
"28",37,3.7,0.813069573099523,28
"29",38,1.76428571428571,0.920373789331222,29
"30",41,2.3,0.813069573099523,30
"31",42,2.45833333333333,0.864931246172816,31
"32",45,1,0.813069573099523,32
"33",47,4.1,0.813069573099523,33
"34",48,4.1,0.813069573099523,34
"35",50,3.1,0.813069573099523,35
"36",51,1.35,0.267261241912424,36
"37",52,1.4,0.813069573099523,37
"38",53,1.435,0.349332697200439,38
"39",54,2.5,0.813069573099523,39
"40",57,2.04588235294118,0.502146129422619,40
"41",58,2.1025,1.12861166293561,41
"42",59,1.48,0.813069573099523,42
"43",62,0.9,0.813069573099523,43
"44",63,1.1,0.813069573099523,44
"45",64,1.86666666666667,1.03666130759601,45
"46",65,3.26,0.410121933088197,46
"47",66,1.98461538461538,0.950303595214142,47
"48",67,0.85,0.813069573099523,48
"49",69,1.7,0.813069573099523,49
"50",71,2.08333333333333,1.03722385883344,50
"51",72,19,0.813069573099523,51
"52",73,1.2,0.813069573099523,52
"53",76,1.54833333333333,0.726396252159601,53
"54",78,6.08571428571429,1.36067210283322,54
"55",79,1.8,0.813069573099523,55
"56",82,1.38916666666667,0.303478569958807,56
"57",83,3.2,0.248423601363248,57
"58",84,2.9,0.813069573099523,58
"59",86,3.0625,1.32873462899321,59
"60",87,2,0.813069573099523,60
"61",89,3,0.813069573099523,61
"62",90,3.81,0.813069573099523,62
"63",91,1.1,0.813069573099523,63
"64",92,3.6,2.71416039810964,64
"65",93,2.3,0.813069573099523,65
"66",95,2.7,0.813069573099523,66
"67",98,0.7376,0.0763983711286511,67
"68",99,1,0.813069573099523,68
"69",101,2.5,0.813069573099523,69
"70",103,1.38,0.236431808350738,70
"71",104,2.86666666666667,0.802080627701064,71
"72",105,1.8,0.813069573099523,72
"73",106,0.65,0.813069573099523,73
"74",107,0.85,0.813069573099523,74
"75",108,2.1,0.813069573099523,75
"76",109,5.8,0.813069573099523,76
"77",111,2.04,0.813069573099523,77
"78",112,2.6,0.813069573099523,78
"79",113,1.2,0.813069573099523,79
"80",114,5.6,0.813069573099523,80
"81",116,1.48,0.813069573099523,81
"82",117,1.61,0.813069573099523,82
"83",119,3.5,0.813069573099523,83
"84",120,3.47,0.813069573099523,84
"85",121,1.11428571428571,0.357531217418244,85
"86",124,1.55,0.866025403784438,86
"87",125,0.9,0.813069573099523,87
"88",127,0.7,0.813069573099523,88
"89",128,2.62142857142857,0.191174315868055,89
"90",129,3.88571428571429,1.4496304947912,90
"91",130,2.36,0.813069573099523,91
"92",131,2.65,0.0534522483824849,92
"93",132,1.1,0.813069573099523,93
"94",133,1.53333333333333,0.55075705472861,94
"95",136,2.2,0.813069573099523,95
"96",138,0.82,0.813069573099523,96
"97",139,3.1,0.813069573099523,97
"98",145,2.7,0.813069573099523,98
"99",147,3.52222222222222,0.533333333333333,99
"100",148,3.3,0.813069573099523,100
"101",149,3.7,0.813069573099523,101
"102",152,3.15,1.20208152801713,102
"103",153,1.47,0.813069573099523,103
"104",157,2.5,0.813069573099523,104
"105",159,1.43,0.813069573099523,105
"106",160,1.4,0.813069573099523,106
"107",161,0.9,0.813069573099523,107
